"","id","id_review","date","reviewer_id","reviewer_name","comments","name","host_id","host_name","neighbourhood_group","neighbourhood","Lat","Lon","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","district","word_count","sd","ave_sentiment","doc_id","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X","crime"
"1",349347,12907596,"5/13/2014",15120068,"Sebastian","Die Wohnung hat unsere Erwartungen übertroffen. Die Küche ist komplett eingerichtet. Alles war sehr sauber und die Lage ist nicht zentral, aber auch nicht ab vom Schuß.","Experience Past|Enjoy Present|South End 1BR 1BA #2",814298,"Thatch",NA,"South End",42.33921,-71.08017,"Entire home/apt",83,30,111,"9/19/2019",1.04,90,21,"D4",28,0.00364526382512115,-0.308290811898598,"doc1",4,2,2,2,0,1,0,10,0,0,0,5,4,0,0,1,0,11261
"2",1327725,70601399,"4/18/2016",47134656,"Ryan","Mikhail was great, he was very communicative and easy to get in touch with if we had any questions. The descriptions and photos were accurate. The apartment was clean and overall it was a very good experience.","Modern 2 BR in Brighton with Parking",7205617,"Mikhail",NA,"Brighton",42.346,-71.1399,"Entire home/apt",98,3,273,"12/7/2020",2.95,1,41,"D14",37,0.260774720538909,0.501059148056712,"doc2",6,1,3,5,3,4,0,6,0,1,3,1,4,2,0,2,0,5828
"3",29878773,557641518,"11/1/2019",263829514,"Buck","A comfy bed, a hot shower and a great time in Boston!","NONE SMOKING 1:Spacious & clean.SUPER Safe & Quiet",165422704,"Mimi",NA,"Dorchester",42.28609,-71.05557,"Private room",40,29,63,"12/27/2020",2.27,3,90,"C11",12,NA,0.360843918243516,"doc3",3,1,0,0,1,3,0,3,0,0,0,1,2,0,0,0,0,12501
"4",17592876,434766308,"4/8/2019",114925506,"David","This place is a rare AirBNB where the place is larger in person than in photos. Great host and a comfortable resting place.","Transportation Accessible Home",119541425,"Esameldin",NA,"Dorchester",42.319,-71.06317,"Entire home/apt",160,29,127,"12/25/2020",2.66,1,357,"C11",23,0.267261241912424,0.20625004608755,"doc4",5,3,1,2,1,4,0,7,0,0,0,0,2,0,0,0,0,12501
"5",7694365,438383224,"4/16/2019",82900256,"Tatiana","Logement au 4ème et dernier étage situé à proximité de la rue principale à moins de 10 minutes à pied. Cependant il est sur une voie de circulation très bruyante.  
Espace assez petit avec kitchenette et réfrigérateur bruyant, ce qui ne facilite pas le sommeil.
Logement très propre.
Nous avons réservé ce logement pendant le marathon de Boston : le prix nous semble excessif au regard des prestations.
Par contre Abbi reste bienveillante.","Stylish Downtown Studio in the SouthEnd, C.Ave# 41",22348222,"Maverick",NA,"South End",42.34441,-71.07633,"Entire home/apt",66,1,110,"2/1/2021",1.94,55,346,"D4",73,0.113141018120087,0.0301675654536571,"doc5",10,1,0,0,0,1,0,33,1,0,3,4,8,0,0,7,12,11261
"6",39999591,658551395,"8/30/2020",91319847,"Nicole","Beautiful house in a great location! Victor is quick to respond with any issues you may have. The nearby outdoor parking lot is a perfect place to park your car on the weekends!","Ideally Located Spacious Boston House",308457137,"Victor",NA,"South Boston",42.33481,-71.04767,"Entire home/apt",215,2,49,"2/15/2021",3.2,1,135,"C6",33,0.197836739004853,0.282855345122904,"doc6",6,3,0,3,0,5,0,9,0,2,2,0,3,0,0,3,0,6984
"7",45494260,720087489,"12/31/2020",31809195,"Carl","Great unit in a great location!","Downtown Luxury | Students Welcome | W/D in unit",365116307,"Brian + Heather",NA,"Downtown",42.35541,-71.06071,"Entire home/apt",350,2,14,"1/24/2021",3.02,24,177,"A1",6,NA,0.408248290463863,"doc7",2,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,9706
"8",5371051,293552389,"7/20/2018",2745855,"Daniel","Great place. Better if you have a car because it is pretty far to the T. Easy parking on the street. Great apartment, huge. Easily good for 5 people. Great rooms good beds. TV with cable. Could use an explanation sheet as the Cable system is pretty complicated. Lots of stairs to the room, not handicap accessible. Air conditioners are a bit under-powered in the common rooms. Overall, a great place.","Beautiful 3 bedroom Dorchester MA",27842033,"Bernard",NA,"Dorchester",42.31339,-71.06526,"Entire home/apt",95,28,260,"11/25/2020",4.07,2,180,"C11",71,0.204482476262395,0.273989796984573,"doc8",12,9,6,4,0,9,0,22,1,0,2,1,14,2,0,4,0,12501
"9",15710997,318784172,"9/4/2018",105527450,"CaroLea","Beautiful house in a vibrant neighborhood just a few minutes' walk from the metro station. Victoria  was super communicative and made sure the kitchen and bathroom were both stocked with all the basics.  There were also board games and suggestions for restaurants nearby. Would recommend to any friends staying in Boston.","Large relaxing apt. next to metro 20min to Boston",6430732,"Victoria/Tim",NA,"Dorchester",42.29303,-71.06693,"Entire home/apt",120,29,133,"1/23/2021",2.73,2,77,"C11",51,0.17117101822115,0.230204960128361,"doc9",5,7,4,3,4,7,0,13,0,1,1,2,4,0,0,5,0,12501
"10",16148182,332542741,"10/5/2018",178078180,"Jaunasse","Perfect. Cozy and stylish. You won't want to leave.","~*Pet Friendly 30min to Downtown*~ THE BOSTONIAN",14016102,"Jovan",NA,"Hyde Park",42.26099,-71.11583,"Entire home/apt",69,2,123,"3/9/2020",2.42,3,82,"E18",9,0.47452962220552,0.633677961138772,"doc10",3,0,0,1,1,0,0,0,0,2,1,0,3,0,0,2,0,5280
"11",18290558,350036462,"11/18/2018",3730652,"Ana","The place was really nice and spotless. There were a lot of little details and a very thoughtful notes in the room. I won’t reveal too many details so you can be surprised just as we were but I just have to say that it was so much nicer than I expected. Highly recommend it.","<U+2605> Spacious & Modern <U+2605> Professionally Sanitized <U+2605>",69587,"Boris & Susan",NA,"East Boston",42.37578,-71.03648,"Private room",48,1,507,"2/15/2021",10.95,8,172,"A7",56,0.277408852239049,0.378007943510616,"doc11",7,2,9,6,3,4,0,6,0,2,8,0,4,3,0,6,0,3627
"12",20913672,487098380,"7/13/2019",192701596,"Miguel","Would definitely stay here again.","Linwood Luxury | Near T",149617117,"Demetrios",NA,"Roxbury",42.33112,-71.09388,"Entire home/apt",352,10,85,"8/30/2020",2.04,2,172,"B2",5,NA,0,"doc12",0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,14525
"13",1038465,323049046,"9/14/2018",12271578,"Jeonghwan","Old boston-stylish house.
Very good location, cozy room, and super-kind host.","HANCOCK TOWER/COPLEY ROOM",85770,"Robert",NA,"South End",42.34644,-71.07481,"Private room",134,29,257,"1/3/2020",2.68,4,90,"D4",13,0.565685424949238,0.8,"doc13",4,0,2,0,1,0,0,4,0,0,0,2,6,0,0,0,0,11261
"14",10627514,559141955,"11/3/2019",295598927,"Daniele","Good place, near the subway and in a good position. Nice house and comfortable room. Nice host. The only little problem was the bathroom, not clean","Sunny JP bedroom near Orange Line T",16337422,"Orion",NA,"Jamaica Plain",42.31551,-71.10158,"Private room",78,91,24,"11/3/2019",0.4,2,365,"E13",26,0.341585156296234,0.256214658779622,"doc14",8,2,0,1,2,4,0,8,0,1,0,0,5,0,0,0,0,5214
